sweep_dim,sweep_value,strategy,far_mean,far_std,far_ci95,delay_mean_mean,delay_mean_std,delay_mean_ci95,bandwidth_mb_mean,bandwidth_mb_std,bandwidth_mb_ci95,bandwidth_per_node_kb_mean,bandwidth_per_node_kb_std,bandwidth_per_node_kb_ci95,expired_ttl_rate_mean,expired_ttl_rate_std,expired_ttl_rate_ci95,coverage_rate_mean,coverage_rate_std,coverage_rate_ci95,n_runs
network_size,200,MIXED,0.0008583813532261465,0.00012812042546697557,0.00011230250441493823,468.57481536674834,5.15373247611227,4.517445692538656,237.50770721435546,24.231127802777422,21.239519983890208,935.414969951923,95.4333648847849,83.6510325519368,0.0007486557699150271,0.0003862341321587985,0.00033854914369718273,0.9990445859872612,0.002136370679139951,0.0018726114649681746,5
network_size,300,PULL,,,,,,,,,,,,,,,,,,,0
network_size,300,PUSH,,,,,,,,,,,,,,,,,,,0
network_size,300,GOSSIP,0.06148574956597164,0.003307836324892851,0.00289944637731417,19090.99147037848,1023.6553655155292,897.2734892674459,17.56008071899414,1.9911276783665575,1.7453003615579121,46.10646834935898,5.227986519608601,4.582532231372569,0.1941832507606701,0.032970009197828734,0.028899487259774235,0.9711688880833727,0.014094931706521614,0.012354752370127781,5
network_size,300,MIXED,0.0010962781476345858,0.0004777471891609784,0.0004187638748811721,694.780318595643,11.620290911921261,10.185634075772553,328.506770324707,15.668300856393724,13.733871236271298,862.5408533653847,41.13933353063379,36.06021575882516,0.0010162147886080858,0.0012292280641931603,0.0010774659044634615,0.9993275012432751,0.0009211190883132876,0.0008073964795617282,5
network_size,500,PULL,,,,,,,,,,,,,,,,,,,0
network_size,500,PUSH,,,,,,,,,,,,,,,,,,,0
network_size,500,GOSSIP,0.060638805089084466,0.005798272098611398,0.005082409581297896,18237.544176551524,685.9664131511662,601.2760717943836,36.30958786010742,3.401077028245527,2.9811754572930287,57.20156610576923,5.358004426036027,4.696497951181629,0.14447670543706076,0.030554101875054838,0.026781851123357948,0.9713869474760258,0.015672865132116062,0.013737872000338311,5
network_size,500,MIXED,0.0022254498530286113,0.0006389089192266663,0.0005600283597301253,1157.9279707581532,7.452172602015607,6.532117291122006,503.18511962890625,42.50213991450607,37.25476822291272,792.710096153846,66.95721734223726,58.69058870809636,0.0013886546660220483,0.0011098748403974498,0.0009728481911410075,0.9976526619657289,0.002655971678837492,0.0023280618223163892,5
network_size,750,PULL,,,,,,,,,,,,,,,,,,,0
network_size,750,PUSH,,,,,,,,,,,,,,,,,,,0
network_size,750,GOSSIP,0.06064816405847412,0.0042062458179483505,0.003686937018970633,19081.093302429224,791.5922825911848,693.86122850054,69.6047576904297,5.147560953072523,4.512036114082355,73.10284294871795,5.40625888815001,4.738794852123415,0.16704609435855095,0.018486569999641364,0.01620419305848249,0.9753835306747007,0.011878895806981407,0.010412311260642676,5
network_size,750,MIXED,0.0028434314534426025,0.0011124559155836886,0.0009751106032930228,1717.5687897642267,15.369704730172854,13.472140191740491,662.3309692382812,46.06651633226642,40.379081906176374,695.6173461538461,48.381654076144414,42.408389612230366,0.0016954189217159871,0.0018638614697811672,0.001633746611252757,0.996093724280087,0.002134385366417427,0.001870871261640144,5
network_size,1000,PULL,,,,,,,,,,,,,,,,,,,0
network_size,1000,PUSH,,,,,,,,,,,,,,,,,,,0
network_size,1000,GOSSIP,0.059374351135641955,0.003768605647804749,0.0033033284962813714,20190.420013833715,408.93921128742784,358.4510230407044,109.98130798339844,9.120168581261101,7.994180230271393,86.63143028846154,7.183886636316434,6.296954273690695,0.19733489402788845,0.01202648018557745,0.010541674672202142,0.9775446096784396,0.012000614878644577,0.010519002731054309,5
network_size,1000,MIXED,0.003422067178137274,0.0005696721885096403,0.0004993396894522631,2246.6637063929584,16.933368369118693,14.842751802466505,789.9947387695313,58.62728197601239,51.38907843108946,622.2727788461539,46.18025903341286,40.47878177956587,0.0017367643578309888,0.001354413080906696,0.0011871954096607392,0.9941552189445328,0.002743877948868904,0.0024051150653283558,5
