ttl,dead_ratio,strategy,n_runs,far_mean,far_std,far_ci95,delay_mean_mean,delay_mean_std,delay_mean_ci95,bandwidth_mb_mean,bandwidth_mb_std,bandwidth_mb_ci95,bandwidth_per_node_kb_mean,bandwidth_per_node_kb_std,bandwidth_per_node_kb_ci95,expired_ttl_rate_mean,expired_ttl_rate_std,expired_ttl_rate_ci95,coverage_rate_mean,coverage_rate_std,coverage_rate_ci95
14400,0.1,PUSH,5,0.1339371140140717,0.006301323239249193,0.005523353347574863,39002.47036587801,383.5164876687754,336.1670232723819,86.15833206176758,8.35540409081978,7.323834598408719,176.4522640625,17.111867577998908,14.999213257541053,0.37895430943199415,0.0038893757471264844,0.0034091881557606297,0.9340679994777252,0.009569473548866751,0.008388013398747667
14400,0.1,GOSSIP,5,0.0386428965944315,0.005461687127537218,0.004787379846091443,11301.863057146878,860.7293156157018,754.4625098978835,68.91141815185547,9.872423383145158,8.653560636649441,108.56198798076923,15.552863914370219,13.632686295275427,0.2953421119603645,0.06110882241320095,0.05356424452882498,0.973464088945484,0.017496725848108484,0.015336556404978904
14400,0.1,MIXED,5,0.0022254498530286113,0.0006389089192266663,0.0005600283597301253,1157.9279707581532,7.452172602015607,6.532117291122006,503.1798156738281,42.49947282002521,37.25243041152457,792.7017403846154,66.95301564262434,58.6869057560018,0.002203775148251362,0.0016421959386020565,0.0014394482064266014,0.9976526619657289,0.002655971678837492,0.0023280618223163892
14400,0.2,PULL,5,0.24484212992645044,0.003568439462857892,0.003127875099316888,46652.596184823524,851.0033204786009,745.9372992779307,11.635660552978516,0.5299257973788762,0.46450044154021924,23.8298328125,1.0852880330319397,0.9512969042743701,0.5769592777708932,0.0022099692327602373,0.0019371234415928985,0.9237277904484438,0.01076224430792941,0.009433523066292212
14400,0.2,PUSH,5,0.23171704671280047,0.003571126670767224,0.0031302305409024248,39259.18678946327,597.6211802004958,523.8380608190083,76.4502067565918,7.560509465897866,6.627078739229075,156.57002343749997,15.483923386158827,13.572257257941144,0.4494424425280217,0.002218236714900477,0.0019443702092036886,0.9354027481218884,0.010513075964588831,0.009215117383700401
14400,0.2,GOSSIP,5,0.03687777592920657,0.004957628534762656,0.004345553009081416,11534.76680561043,816.9289343514299,716.069782958534,66.11433639526368,10.808557524381238,9.474118390387448,104.15550841346153,17.027635238409825,14.92538035654884,0.32334677565819536,0.05293891818782497,0.046403007731524434,0.9751168522671924,0.012694037650997702,0.011126814589856465
14400,0.2,MIXED,5,0.002121003278913094,0.00019918081926370654,0.00017458968586159699,995.1220387545794,14.086361853634886,12.347240562871917,502.49500274658203,41.86511843359475,36.69639427581017,791.6228966346155,65.95366350154003,57.810934982199406,0.0024335796395493353,0.001743652035128168,0.0015283783960237543,0.9979538667850061,0.0028533010367127326,0.0025010286307172347
14400,0.3,PULL,5,0.33729313176939746,0.007659381503216734,0.0067137439010644786,46436.67332090599,513.2386436567341,449.87350639132944,10.138343048095702,0.4511953377147967,0.3954901509344139,20.7633265625,0.924048051639903,0.8099638291136791,0.6287326233504873,0.0007363725376784785,0.0006454589879971364,0.920959821917345,0.014249787355099542,0.012490489330840448
14400,0.3,PUSH,5,0.3250837441941911,0.008720047738864353,0.007643458848368459,38876.344555892465,230.84847181030483,202.34760718415592,66.70080490112305,6.432109394967306,5.63799246757788,136.60324843749999,13.17296004089304,11.546608573599496,0.5173153225949916,0.0017472451163545858,0.0015315278705811662,0.9337427962256928,0.00913494106452325,0.008007128882765486
14400,0.3,GOSSIP,5,0.04768779410002213,0.01527982815218967,0.01339335989766195,14037.486324104106,3990.557322601766,3497.877717047266,56.33897933959961,13.40516181524359,11.750142402761503,88.75556129807693,21.118285690476053,18.51099356988889,0.42690751512958947,0.12391133103410092,0.10861307047489374,0.9738527764681155,0.0030501500326683196,0.0026735743833308703
