sweep_dim,sweep_value,strategy,far,delay_mean,bandwidth_mb,expired_ttl_rate,coverage_rate
revocation_rate,0.65,PULL,0.14836457008471118,,9.384147644042969,0.9580173606142987,0.0
revocation_rate,0.65,PUSH,0.08076360058553911,,7285.052104949951,0.9493251299661373,0.0
revocation_rate,0.65,GOSSIP,0.04675174988894358,29466.547711956853,24.876708984375,0.950468460941696,1.0
revocation_rate,0.65,MIXED,0.0006003049549170978,1149.517077281803,7657.51362991333,0.9424718028286686,1.0
revocation_rate,0.7,PULL,0.14820501133487662,,9.359127044677734,0.9584346830734011,0.0
revocation_rate,0.7,PUSH,0.0801597677849612,,7555.728542327881,0.9501478513855106,0.0
revocation_rate,0.7,GOSSIP,0.04714071407140714,29736.992152186758,24.876708984375,0.9512800620636152,1.0
revocation_rate,0.7,MIXED,0.0006000600060006001,1131.3935205117266,7941.432762145996,0.9432834039505879,1.0
revocation_rate,0.75,PULL,0.14822674627724625,,9.291534423828125,0.958863929031335,0.0
revocation_rate,0.75,PUSH,0.07871136369086157,,7807.920703887939,0.9508990318118948,0.0
revocation_rate,0.75,GOSSIP,0.047460799251376674,29971.377333719323,24.876708984375,0.9520081160112192,1.0
revocation_rate,0.75,MIXED,0.00045589240939138365,1109.929595103798,8173.324413299561,0.9440114578981919,1.0
revocation_rate,0.8,PULL,0.1481326109885895,,9.265705108642578,0.9591023990079649,0.0
revocation_rate,0.8,PUSH,0.07929811103653274,,8037.543853759766,0.9515548242476273,0.0
revocation_rate,0.8,GOSSIP,0.04774640792535201,30176.464367560333,24.876708984375,0.9526764934057409,1.0
revocation_rate,0.8,MIXED,0.0004797428578282041,1091.6064618992389,8357.534351348877,0.94469177060333,1.0
revocation_rate,0.85,PULL,0.1480451947616252,,9.290637969970703,0.9593170219869318,0.0
revocation_rate,0.85,PUSH,0.08250560141862666,,8273.03717803955,0.9522702341775171,0.0
revocation_rate,0.85,GOSSIP,0.048054672981236134,30357.423515067094,24.876708984375,0.9531419705197828,1.0
revocation_rate,0.85,MIXED,0.0004556081769678077,1079.123502975012,8573.098934173584,0.9451572477173719,1.0
revocation_rate,0.9,PULL,0.14800043117387085,,9.290199279785156,0.9595674154623933,0.0
revocation_rate,0.9,PUSH,0.08376750146718887,,8541.891189575195,0.9528067916249344,0.0
revocation_rate,0.9,GOSSIP,0.04831711176103946,30518.27609062866,24.876708984375,0.9537148654293728,1.0
revocation_rate,0.9,MIXED,0.0003476051205830177,1068.268118968443,8809.750095367432,0.9457898191800441,1.0
revocation_rate,0.95,PULL,0.14786784341432455,,9.310493469238281,0.9598416559355177,0.0
revocation_rate,0.95,PUSH,0.08714239524830254,,8811.60758972168,0.9534506605618353,0.0
revocation_rate,0.95,GOSSIP,0.048579405878898994,30662.196816131116,24.876708984375,0.9541087306797159,1.0
revocation_rate,0.95,MIXED,0.00045535703586535814,1058.673400275419,9048.426898956299,0.9461956197410037,1.0
revocation_rate,1.0,PULL,0.14783951725871916,,9.322887420654297,0.9600682024133161,0.0
revocation_rate,1.0,PUSH,0.08870610490523569,,9062.915874481201,0.9539872180092527,0.0
revocation_rate,1.0,GOSSIP,0.048818765574084724,30791.72546908333,24.876708984375,0.9545861431043743,1.0
revocation_rate,1.0,MIXED,0.000539102932719954,1046.0446114785634,9274.970348358154,0.946696902786895,1.0
